audio_path,relative_path,text,authenticity,duration,speaker_id,gender,accent,scenario,is_verified,notes
audio\real_new\real_samples\001ce26c07c20eaa0d666b824c6c6924.wav,real_new\real_samples\001ce26c07c20eaa0d666b824c6c6924.wav,60.000 тенге сколько будет стоить,real,4.0,real_new,,,,0,
audio\real_new\real_samples\0021c3c46b7d0a2a50b7f6b0084c99a5.wav,real_new\real_samples\0021c3c46b7d0a2a50b7f6b0084c99a5.wav,Покажи мне насмотрелся Синергия ТВ,real,3.43,real_new,,,,0,
audio\real_new\real_samples\002e64235abc88d64fb558324c681489.wav,real_new\real_samples\002e64235abc88d64fb558324c681489.wav,Михаила мурадяна,real,3.2,real_new,,,,0,
audio\real_new\real_samples\0037c34dc43b019e2e1f715b18caa6fd.wav,real_new\real_samples\0037c34dc43b019e2e1f715b18caa6fd.wav,Найди боевики,real,2.04,real_new,,,,0,
audio\real_new\real_samples\0040e9bb1832795a3c57283477484a0c.wav,real_new\real_samples\0040e9bb1832795a3c57283477484a0c.wav,Гетто сезон 3,real,4.93,real_new,,,,0,
audio\real_new\real_samples\0040fcee5ea10479a55d623ec9265853.wav,real_new\real_samples\0040fcee5ea10479a55d623ec9265853.wav,хочу посмотреть Ростов папа на телевизоре,real,3.34,real_new,,,,0,
audio\real_new\real_samples\0041c2def14898cfe152cbd92210bea4.wav,real_new\real_samples\0041c2def14898cfe152cbd92210bea4.wav,Сбер Какое твоё самое ненавистное занятие,real,3.91,real_new,,,,0,
audio\real_new\real_samples\0043592661b915d774bc17e89fd695de.wav,real_new\real_samples\0043592661b915d774bc17e89fd695de.wav,Салют сколько предприятий являются клиентами сбе,real,4.45,real_new,,,,0,
audio\real_new\real_samples\004a82ebeebe58430f53e4da3cabd80b.wav,real_new\real_samples\004a82ebeebe58430f53e4da3cabd80b.wav,Joy Как работает досрочное погашение кредита,real,5.94,real_new,,,,0,
audio\real_new\real_samples\005df30cef6a78311f6f51113b359d19.wav,real_new\real_samples\005df30cef6a78311f6f51113b359d19.wav,пожалуйста пополните мне,real,2.62,real_new,,,,0,
audio\real_new\real_samples\0069bc346588679a5fb89b60f80a3a66.wav,real_new\real_samples\0069bc346588679a5fb89b60f80a3a66.wav,Joy надо,real,1.3,real_new,,,,0,
audio\real_new\real_samples\008d8a6d585b0454126dfff15250644e.wav,real_new\real_samples\008d8a6d585b0454126dfff15250644e.wav,Обмани меня сезон 8 часть 13,real,5.16,real_new,,,,0,
audio\real_new\real_samples\008ea70c325719659508373224568fd0.wav,real_new\real_samples\008ea70c325719659508373224568fd0.wav,Включи канал Футбол H,real,3.39,real_new,,,,0,
audio\real_new\real_samples\008f7472a55b07363112070e85cde7dd.wav,real_new\real_samples\008f7472a55b07363112070e85cde7dd.wav,салют Скажи время московское И местное,real,2.56,real_new,,,,0,
audio\real_new\real_samples\009a771bd38137aeed3e6393c27a433b.wav,real_new\real_samples\009a771bd38137aeed3e6393c27a433b.wav,поп-звезда не переставай не останавливайся,real,3.68,real_new,,,,0,
audio\real_new\real_samples\00a5c37ffb884e4ce76ef26d5059a138.wav,real_new\real_samples\00a5c37ffb884e4ce76ef26d5059a138.wav,Я не хочу чтобы сегодня звонил будильник,real,3.69,real_new,,,,0,
audio\real_new\real_samples\00a86763f9cb3a97cea8507c8d9737ef.wav,real_new\real_samples\00a86763f9cb3a97cea8507c8d9737ef.wav,Салют Позвони Владимиру Петро,real,2.29,real_new,,,,0,
audio\real_new\real_samples\00b1dd4be8a32fc7e4ab7aaffb9666e0.wav,real_new\real_samples\00b1dd4be8a32fc7e4ab7aaffb9666e0.wav,Салют самый популярный фильм Люка Бессона,real,3.86,real_new,,,,0,
audio\real_new\real_samples\00b4dbc9944e1df6f323f76762cdcbf3.wav,real_new\real_samples\00b4dbc9944e1df6f323f76762cdcbf3.wav,Татьяна зиганшина,real,2.72,real_new,,,,0,
audio\real_new\real_samples\00bfd69bf8853994e1269b5a31539b84.wav,real_new\real_samples\00bfd69bf8853994e1269b5a31539b84.wav,Joy когда перестал существовать сербское царство,real,3.51,real_new,,,,0,
audio\real_new\real_samples\00bfeac1e2be132b16ac73dab1c44181.wav,real_new\real_samples\00bfeac1e2be132b16ac73dab1c44181.wav,Афина вызов Дмитрию Юрьевичу,real,3.25,real_new,,,,0,
audio\real_new\real_samples\00c0a3fbeecc3915842ce87151418cc3.wav,real_new\real_samples\00c0a3fbeecc3915842ce87151418cc3.wav,Олег Яковлев,real,4.48,real_new,,,,0,
audio\real_new\real_samples\00c1f52f7f7d1b05be6f333c9e264d79.wav,real_new\real_samples\00c1f52f7f7d1b05be6f333c9e264d79.wav,Посоветуй мне шестая часть Как избежать наказания за убийства,real,6.53,real_new,,,,0,
audio\real_new\real_samples\00c39c13a10befc59629e6d275e25888.wav,real_new\real_samples\00c39c13a10befc59629e6d275e25888.wav,Включи канал Культура,real,3.94,real_new,,,,0,
audio\real_new\real_samples\00cd6161134672384854f2b68785f52a.wav,real_new\real_samples\00cd6161134672384854f2b68785f52a.wav,Joy посмотреть Восток ТВ,real,3.24,real_new,,,,0,
audio\real_new\real_samples\00dafa32e4bdecb1cd5754693b796b2b.wav,real_new\real_samples\00dafa32e4bdecb1cd5754693b796b2b.wav,футбольный матч челси-барселона,real,2.52,real_new,,,,0,
audio\real_new\real_samples\00e3f2504eab100612c86f0a9b8dd9be.wav,real_new\real_samples\00e3f2504eab100612c86f0a9b8dd9be.wav,Давай запустим запись матча Манчестер Юнайтед и,real,3.04,real_new,,,,0,
audio\real_new\real_samples\00ed568270cfba98d3265c3d646f0ecb.wav,real_new\real_samples\00ed568270cfba98d3265c3d646f0ecb.wav,какая комиссия за перевод Сбербанк,real,3.5,real_new,,,,0,
audio\real_new\real_samples\00ee619c6041b081cb4b9ee4fc6b22ae.wav,real_new\real_samples\00ee619c6041b081cb4b9ee4fc6b22ae.wav,Филёвская лакомка классическая 120 г заказать,real,7.58,real_new,,,,0,
audio\real_new\real_samples\00f019eb9344b220a17ffa5b4bf30fef.wav,real_new\real_samples\00f019eb9344b220a17ffa5b4bf30fef.wav,Вова и Шутов,real,3.2,real_new,,,,0,
audio\real_new\real_samples\010ca77da0f852007cf8c8e3ec5b6232.wav,real_new\real_samples\010ca77da0f852007cf8c8e3ec5b6232.wav,Сбер выйти из приложения,real,1.71,real_new,,,,0,
audio\real_new\real_samples\011eabdfb054e4117d4b9c7d8ba7789c.wav,real_new\real_samples\011eabdfb054e4117d4b9c7d8ba7789c.wav,у тебя будет Мужчина с гарантией,real,3.1,real_new,,,,0,
audio\real_new\real_samples\012e76806364f1d102df690bf7f95c6c.wav,real_new\real_samples\012e76806364f1d102df690bf7f95c6c.wav,Есть ли велопрогулки в отеле,real,2.22,real_new,,,,0,
audio\real_new\real_samples\012e79b183af0bcef542a086c9e6a4ae.wav,real_new\real_samples\012e79b183af0bcef542a086c9e6a4ae.wav,уточни на ресепшене Где в отеле или рядом с ним можно распечатать документы с почты,real,6.15,real_new,,,,0,
audio\real_new\real_samples\014d8877ac68d35d2a9fde62796286f7.wav,real_new\real_samples\014d8877ac68d35d2a9fde62796286f7.wav,Афина Переведи пожалуйста маме 300.000,real,5.21,real_new,,,,0,
audio\real_new\real_samples\014e1303658e948cedd85446ccbe628e.wav,real_new\real_samples\014e1303658e948cedd85446ccbe628e.wav,заказ молока Народная высокий процент жирности,real,4.56,real_new,,,,0,
audio\real_new\real_samples\01571c229158bfac1c769b08896056d7.wav,real_new\real_samples\01571c229158bfac1c769b08896056d7.wav,Салют чем платят Китай,real,2.92,real_new,,,,0,
audio\real_new\real_samples\015b7c82d84afdae6b71e68690b39e09.wav,real_new\real_samples\015b7c82d84afdae6b71e68690b39e09.wav,Дианка,real,2.18,real_new,,,,0,
audio\real_new\real_samples\016ced0f4b1135a3399481ffd9c54aa9.wav,real_new\real_samples\016ced0f4b1135a3399481ffd9c54aa9.wav,телевизор сломан,real,2.64,real_new,,,,0,
audio\real_new\real_samples\0174013843dbc8084716a866e35ceaca.wav,real_new\real_samples\0174013843dbc8084716a866e35ceaca.wav,Сбер Привет Переведи маме 1.000 руб,real,3.11,real_new,,,,0,
audio\real_new\real_samples\0175f0c6f256de46a9b75df2f7d3a0ef.wav,real_new\real_samples\0175f0c6f256de46a9b75df2f7d3a0ef.wav,включи,real,2.16,real_new,,,,0,
audio\real_new\real_samples\018787f985e2c3d5afc29800a45b773f.wav,real_new\real_samples\018787f985e2c3d5afc29800a45b773f.wav,Открой приложение,real,2.38,real_new,,,,0,
audio\real_new\real_samples\018e68acd1e41abe44a6077d0331d7c6.wav,real_new\real_samples\018e68acd1e41abe44a6077d0331d7c6.wav,Включи ленту в поле зрения,real,3.27,real_new,,,,0,
audio\real_new\real_samples\0192e66795baa09424efbac5710f6992.wav,real_new\real_samples\0192e66795baa09424efbac5710f6992.wav,Афина,real,1.25,real_new,,,,0,
audio\real_new\real_samples\019a27cda925492ca32b0bb2b5c24afd.wav,real_new\real_samples\019a27cda925492ca32b0bb2b5c24afd.wav,Афина Как отправить видео на сайт канала Карусель с фиксиком,real,4.41,real_new,,,,0,
audio\real_new\real_samples\019cc1c6c7b7d61c4811bc6674e5676b.wav,real_new\real_samples\019cc1c6c7b7d61c4811bc6674e5676b.wav,у тебя будет Призрачная башня,real,3.92,real_new,,,,0,
audio\real_new\real_samples\01a05ec777137db6fca31c02fe495527.wav,real_new\real_samples\01a05ec777137db6fca31c02fe495527.wav,Joy поставь Swiss Hits,real,4.58,real_new,,,,0,
audio\real_new\real_samples\01a5d14af00f44b1cde14e20cdcc25ac.wav,real_new\real_samples\01a5d14af00f44b1cde14e20cdcc25ac.wav,9 472 824 65 30,real,11.31,real_new,,,,0,
audio\real_new\real_samples\01acf8b2591bcefd0bd45eb132419964.wav,real_new\real_samples\01acf8b2591bcefd0bd45eb132419964.wav,салют в каких источниках описывается университет в Пра,real,3.5,real_new,,,,0,
audio\real_new\real_samples\01b5c80221cf32084af0fb2e7e1135e0.wav,real_new\real_samples\01b5c80221cf32084af0fb2e7e1135e0.wav,Хочу посмотреть кино презумпция невиновности,real,3.56,real_new,,,,0,
audio\real_new\real_samples\01d251175199ac01c065ca7078e0cca8.wav,real_new\real_samples\01d251175199ac01c065ca7078e0cca8.wav,Привет ассистент Закажи мне пятилитровую бутылку воды Шишкин лес,real,7.55,real_new,,,,0,
audio\real_new\real_samples\01d5be9e05f7291f8c40b6d7b205f4f5.wav,real_new\real_samples\01d5be9e05f7291f8c40b6d7b205f4f5.wav,У тебя есть часть 36 сезона 5 abat Даунтон,real,6.56,real_new,,,,0,
audio\real_new\real_samples\01e16bbc682f54e0ed6f85b8208e49be.wav,real_new\real_samples\01e16bbc682f54e0ed6f85b8208e49be.wav,найти Законопослушный гражданин актёр Крис Эванс,real,4.05,real_new,,,,0,
audio\real_new\real_samples\01e7d17711b7cbd48bfb023c5f0d5eef.wav,real_new\real_samples\01e7d17711b7cbd48bfb023c5f0d5eef.wav,Что делать если родители не разрешают взять собаку,real,2.99,real_new,,,,0,
audio\real_new\real_samples\01eb0a6c12c223310a3111261be87de1.wav,real_new\real_samples\01eb0a6c12c223310a3111261be87de1.wav,Афина Какие принципы у Германа грефа,real,3.62,real_new,,,,0,
audio\real_new\real_samples\01ec56022029251936c843972ef68306.wav,real_new\real_samples\01ec56022029251936c843972ef68306.wav,Joy что продолжалось между лидерами команд формулы-1 и лидерами Федерации,real,4.34,real_new,,,,0,
audio\real_new\real_samples\01ed5c5013cb1c08c76fbcc4aacddfe5.wav,real_new\real_samples\01ed5c5013cb1c08c76fbcc4aacddfe5.wav,[ERROR] Речь не распознана,real,1.26,real_new,,,,0,
audio\real_new\real_samples\01f81b84a7d2a6d9a6a646547efc5e8a.wav,real_new\real_samples\01f81b84a7d2a6d9a6a646547efc5e8a.wav,американские боги эпизод 12,real,4.72,real_new,,,,0,
audio\real_new\real_samples\01fd945ba02a08194259fdcc019529fa.wav,real_new\real_samples\01fd945ba02a08194259fdcc019529fa.wav,Покажи мне фильм убивая Еву,real,3.84,real_new,,,,0,
audio\real_new\real_samples\01fdd0b0f1b44f8442b9a3e6eaf19e7a.wav,real_new\real_samples\01fdd0b0f1b44f8442b9a3e6eaf19e7a.wav,Зенит,real,2.34,real_new,,,,0,
audio\real_new\real_samples\0200b04d96159ed3b76a8264b44823dd.wav,real_new\real_samples\0200b04d96159ed3b76a8264b44823dd.wav,Давай отправимся на,real,2.65,real_new,,,,0,
audio\real_new\real_samples\020247232fb1725d5d70a7c81b855705.wav,real_new\real_samples\020247232fb1725d5d70a7c81b855705.wav,Салют помощник оплати,real,2.76,real_new,,,,0,
audio\real_new\real_samples\021d8edb171ac21d35340213bc7341e1.wav,real_new\real_samples\021d8edb171ac21d35340213bc7341e1.wav,адрес Запаска,real,4.92,real_new,,,,0,
audio\real_new\real_samples\022e5ca87e8cb83736ca833afb5a5151.wav,real_new\real_samples\022e5ca87e8cb83736ca833afb5a5151.wav,Сбер Включи Алина Орлова,real,4.54,real_new,,,,0,
audio\real_new\real_samples\0236397037f684487bc009b506b15b35.wav,real_new\real_samples\0236397037f684487bc009b506b15b35.wav,Joy домой,real,1.08,real_new,,,,0,
audio\real_new\real_samples\023a6e8c1cf3ce8f8b91ba3af4c431c9.wav,real_new\real_samples\023a6e8c1cf3ce8f8b91ba3af4c431c9.wav,rampur,real,3.36,real_new,,,,0,
audio\real_new\real_samples\0242b81ab1db3e47e7c55d5ff9327aef.wav,real_new\real_samples\0242b81ab1db3e47e7c55d5ff9327aef.wav,любимая дочь Переведи 700 руб,real,3.66,real_new,,,,0,
audio\real_new\real_samples\024dcfdacd238fdc87d8faac235df377.wav,real_new\real_samples\024dcfdacd238fdc87d8faac235df377.wav,Джой ты когда-нибудь сможешь простить меня,real,2.89,real_new,,,,0,
audio\real_new\real_samples\025c34d57bdcbfd56421869f8beb2aca.wav,real_new\real_samples\025c34d57bdcbfd56421869f8beb2aca.wav,салют мне нужен Банк рядом положить деньги,real,4.58,real_new,,,,0,
audio\real_new\real_samples\025d666445cab7f35bf974130ed3b18e.wav,real_new\real_samples\025d666445cab7f35bf974130ed3b18e.wav,Тюменский техникум индустрии питания коммерции и сервиса бронь,real,4.64,real_new,,,,0,
audio\real_new\real_samples\025ec4999957fbdd393fe9548f73d3e6.wav,real_new\real_samples\025ec4999957fbdd393fe9548f73d3e6.wav,Афина дальше,real,1.74,real_new,,,,0,
audio\real_new\real_samples\027b66e92b21dc823d8edbc0c922d215.wav,real_new\real_samples\027b66e92b21dc823d8edbc0c922d215.wav,Найди Бен 10,real,3.12,real_new,,,,0,
audio\real_new\real_samples\0293d5756702357ace8b61b698a5804e.wav,real_new\real_samples\0293d5756702357ace8b61b698a5804e.wav,Сбер набери корчаги,real,1.84,real_new,,,,0,
audio\real_new\real_samples\029df60bc9c53f9a3f06f225b06f682c.wav,real_new\real_samples\029df60bc9c53f9a3f06f225b06f682c.wav,Алиса Включи ОНТ,real,4.26,real_new,,,,0,
audio\real_new\real_samples\02aca1aff8438177a5df3eaa2d957c6f.wav,real_new\real_samples\02aca1aff8438177a5df3eaa2d957c6f.wav,cycle,real,2.38,real_new,,,,0,
audio\real_new\real_samples\02ad706c4e95beb30c7947588a711900.wav,real_new\real_samples\02ad706c4e95beb30c7947588a711900.wav,Отбросы 4 сезон серия 37,real,5.2,real_new,,,,0,
audio\real_new\real_samples\02b25708f85112be47350632fab76375.wav,real_new\real_samples\02b25708f85112be47350632fab76375.wav,ты найдёшь у себя во все тяжкие,real,4.48,real_new,,,,0,
audio\real_new\real_samples\02bff8b5fdf2e453741afd283306ab31.wav,real_new\real_samples\02bff8b5fdf2e453741afd283306ab31.wav,стометровка билет,real,2.42,real_new,,,,0,
audio\real_new\real_samples\02c6b8c78a3b40f49b6d4dc7c7e441dd.wav,real_new\real_samples\02c6b8c78a3b40f49b6d4dc7c7e441dd.wav,В каком году был написан рассказ Чехова мальчики,real,4.9,real_new,,,,0,
audio\real_new\real_samples\02cd6073d044d4687b6173b9c8571721.wav,real_new\real_samples\02cd6073d044d4687b6173b9c8571721.wav,жевательная резинка Мамба большая пачка,real,4.7,real_new,,,,0,
audio\real_new\real_samples\02d5f760ace55096ce5e7d9f93c9fbb0.wav,real_new\real_samples\02d5f760ace55096ce5e7d9f93c9fbb0.wav,Альмира Владимировна,real,3.9,real_new,,,,0,
audio\real_new\real_samples\02db9b4802f68d6a6dbe96615b017e22.wav,real_new\real_samples\02db9b4802f68d6a6dbe96615b017e22.wav,кино дарю тебе звезду заводе,real,4.64,real_new,,,,0,
audio\real_new\real_samples\02e2fd7b2355a14ad60fdeedecfcf968.wav,real_new\real_samples\02e2fd7b2355a14ad60fdeedecfcf968.wav,кто такой человек-паук,real,2.25,real_new,,,,0,
